"ID",Isolate Number,HN,Unit,Species,Breed,Sex,Submitted sample,Method of collection,Methods,Vitek card lot,Bacterial species identification,Counting (CFU/mL),ESBL,Ampicillin,ampicillin_,Amoxicillin/clavulanic acid,amoxicillin/clavulanic acid_,Cephalexin,cephalexin_,Cefalothin,cefalothin_,Cefpodoxime,cefpodoxime_,Cefovecin,cefovecin_,Ceftiofur,ceftiofur_,Imipenem,imipenem_,Amikacin,amikacin_,Gentamicin,gentamicin_,Neomycin,neomycin_,Enrofloxacin,enrofloxacin_,Marbofloxacin,marbofloxacin_,Pradofloxacin,pradofloxacin_,Doxycycline,doxycycline_,Tetracycline,tetracycline_,Nitrofurantoin,nitrofurantoin_,Chloramphenicol,chloramphenicol_,Sulfamethoxazole/trimethoprim,sulfamethoxazole/trimethoprim_,Specific resistance phenotype,Interpretation and recommendation
293,M924/2566,5613705,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Shih Tzu,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,>=16,R,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,>=64,R,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)"
294,M942/2566,6210180,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Pomeranian,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,>10^5,NEG,>=32,R,8,S,<=4,S,<=2,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,1,I,1,S,0.5,I,>=16,R,>=16,R,128,R,>=64,R,>=320,R,Klebsiella pneumoniae,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o	 Cephalexin 25-30 mg/kg q12h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Marbofloxacin 11-22 mg/kg q24h หรือแบ่งให้ 5.5-11 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหาย
        สนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
-	 ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
295,M933/2566,6604622,ห้องผ่าตัด,Dog,Pomeranian,Female,UB mucosa+calculi,NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,S,<=2,S,2,S,NA,NA,2,I,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)"
296,M935/2566,6600235,ห้องผ่าตัด,Cat,Domestic Shorthair (DSH),Male,nasal cavity,NA,Vitek/MALDI,GN-AST,Citrobacter braakii,NA,NA,NA,NA,>=32,R,>=64,R,16,R,2,S,1,S,<=1,S,0.5,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,R,<=1,S,<=16,S,8,S,<=20,S,Citrobacter braakii,"-	**การเพาะเชื้อจาก nasal cavity ไม่ได้มีข้อบ่งชี้ในการวินิจฉัยการติดเชื้อทางเดินหายใจส่วนต้นแบบเฉียบพลัน เนื่องจากเป็นบริเวณที่มีการเจริญของเชื้อประจำถิ่น หรือเชื้อที่ได้รับมาจากสิ่งแวดล้อมและอาจทำให้เกิดการติดเชื้อแทรกซ้อน โดยปกติหากสัตว์มีน้ำมูกข้นเพียงอย่างเดียวโดยไม่มีความผิดปกติอื่นร่วมด้วย อาการจะทุเลาลงได้เองภายใน 10 วันโดยไม่ต้องให้ยาต้านจุลชีพ **
- เชื้อนี้เป็นกลุ่ม enterobacteria สามารถติดเชื้อแบบฉวยโอกาส หรือาจเกิดจากการปนเปื้อนมายังรอยโรคหรือในกระบวนการเก็บตัวอย่างก็ได้ แนะนำให้วินิจฉัยยืนยันกับ cytologic examination พบการเพิ่มจำนวนของเซลล์อักเสบและ gram-negative bacilli เพื่อยืนยันการติดเชื้อ
- 	ในกรณีที่สัตว์มีน้ำมูกนานกว่า 10 วัน หรือแสดงอาการผิดปกติอื่นร่วมด้วย เช่น มีไข้ ซึม เบื่ออาหาร หรือไม่สามารถจัดการกับปัญหาโน้มนำที่ทำให้เกิดการติดเชื้อแทรกซ้อนได้ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Marbofloxacin 5.5-11 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
297,M914/2566,6605278,ศัลยกรรม,Cat,Domestic Shorthair (DSH),Male,wd abscess at rt perineal,NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,S,<=2,S,>=16,R,NA,NA,>=4,R,>=4,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o	 Amikacin 15 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หาก
        แมวมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
298,M932/2566,6605923,ห้องผ่าตัด,Dog,Chihuahua,Female,UB mucosa+calculi,NA,Vitek/MALDI,GN-AST,Proteus mirabilis,NA,NA,>=32,R,16,I,16,S,8,S,<=0.25,S,<=0.5,S,<=1,S,4,R,<=2,S,<=1,S,<=2,S,>=4,R,2,I,>=4,R,>=16,R,>=16,R,128,R,>=64,R,<=20,S,Proteus mirabilis,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o	 Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์"
299,M944/2566,6007384,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Pomeranian,Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,4,I,<=0.25,S,<=2,S,<=1,S,<=2,S,0.5,S,<=0.5,S,<=0.12,S,1,S,2,S,<=16,S,4,S,<=20,S,Escherichia coli,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o Enrofloxacin 10-20 mg/kg q24h หรือแบ่งให้ 5-10 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท
        และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
300,M939/2566,5803870,ศัลยกรรม,Dog,Welsh Corgi,Male,wound,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,NEG,<=2,S,<=2,S,8,R,4,I,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,<=2,S,<=20,S,Escherichia coli,"- 	การวินิจฉัยว่าเป็นการติดเชื้อควรพิจารณาร่วมกับรอยโรคที่แสดงการอักเสบติดเชื้อ การทำ cytology พบการเพิ่มจำนวนของ gram-positive cocci และการตอบสนองต่อการรักษา
-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง  
     o	 Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
301,M950/2566,6509409,หน่วยหอสัตว์ป่วยวิกฤต,Dog,Pomeranian,Male,urine,NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,>10^5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,S,16,R,8,R,NA,NA,0.25,S,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Enrofloxacin 5-10 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์"
302,M951/2566,6604990,ห้องผ่าตัด,Cat,British Shorthair,Female,surgical wound at perineum,NA,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,NA,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,<=1,S,<=2,S,1,I,<=0.5,S,0.5,I,1,R,<=1,S,32,S,<=2,S,>=320,R,Klebsiella pneumoniae,"-	 การวินิจฉัยว่าเป็นการติดเชื้อควรพิจารณาร่วมกับรอยโรคที่แสดงการอักเสบติดเชื้อ การทำ cytology พบการเพิ่มจำนวนของ gram-negative bacilli และการตอบสนองต่อการรักษา
-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o	 Marbofloxacin 5.5-11 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Amikacin 15 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หาก
        แมวมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)"
303,M953/2566,6502490,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Mixed breed,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,4,S,8,S,4,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,>=16,R,<=2,S,>=4,R,>=4,R,>=4,R,8,R,>=16,R,<=16,S,<=2,S,>=320,R,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
304,M954/2566,6605951,หน่วยหอสัตว์ป่วยใน,Cat,Domestic Shorthair (DSH),Male,urine,catheterization,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,>10^5,POS,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,>=64,R,>=16,R,4,S,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,64,I,>=64,R,>=320,R,ESBL-producing Klebsiella pneumoniae,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ได้แก่
     o	 Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
305,M956/2566,6605362,ห้องผ่าตัด,Dog,Chihuahua,Male,UB mucosa+calculi,NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,S,<=2,S,<=1,S,NA,NA,1,I,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o	 Gentamicin 6 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)"
306,M936/2566,6506064,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Dog,Golden Retriever,Male,Lt ear swab (otitis),NA,Vitek/MALDI,GN-AST,Providencia alcalifaciens,NA,NA,<=2,*R,NA,NA,>=64,R,8,*R,<=0.25,S,<=0.5,S,4,I,2,I,<=2,S,<=1,S,<=2,S,1,I,<=0.5,S,2,R,4,*R,8,*R,256,*R,>=64,R,<=20,S,Providencia alcalifaciens,"-	 แนะนำให้ทำความสะอาดช่องหูวันละ 1 ครั้ง ด้วยน้ำยาล้างหูที่มี antiseptics เป็นส่วนประกอบที่มีคุณสมบัติในการทำลายเชื้อและ biofilm ของเชื้อ หรือ Tris EDTA ทิ้งไว้ 20-30 นาที แล้วจึงหยอดยาหยอดหูที่มีส่วนประกอบของยาต้านจุลชีพ เช่น gentamicin หรือ marbofloxacin
- 	ในกรณีที่มีการอักเสบติดเชื้อรุนแรง ติดเชื้อที่ช่องหูส่วนกลาง หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Marbofloxacin 5.5-11 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
307,M980/2566,6303579,ศัลยกรรม,Cat,Domestic Shorthair (DSH),Male,urine,catheterization,Vitek/MALDI,GN-AST,Proteus mirabilis,>10^5,NA,>=32,R,>=32,R,16,S,4,S,<=0.25,S,<=0.5,S,<=1,S,8,R,<=2,S,8,R,<=2,S,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,128,R,>=64,R,>=320,R,Proteus mirabilis,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o Cefovecin 8 mg/kg SC once
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หากแมวมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)"
308,M965/2566,6606585,ศัลยกรรม,Dog,Japanese Spitz,Male,wound at Lt HL (open fracture),NA,Vitek/MALDI,GN-AST,Proteus mirabilis,NA,NA,<=2*,*R,16,I,16,I,4,I,<=0.25,S,<=0.5,S,<=1,S,4,R,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,128,R,4,S,<=20,S,Proteus mirabilis,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
309,M967/2566,6511316,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Dog,Siberian Husky,Male,urine,catheterization,Vitek/MALDI,GN-AST,Proteus mirabilis,>10^5,NA,>=32,R,8,S,16,S,8,S,<=0.25,S,<=0.5,S,<=1,S,2,I,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,128,R,>=64,R,<=20,S,Proteus mirabilis,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for at least 14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์
     o Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
-	 ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
